bin,bin_range,n,mean_predicted,observed_rate
0,"[0.00, 0.10)",7,0.08614601939916611,0.2857142857142857
1,"[0.10, 0.20)",126,0.15934574604034424,0.21428571428571427
2,"[0.20, 0.30)",327,0.2563871145248413,0.3119266055045872
3,"[0.30, 0.40)",404,0.3531723916530609,0.400990099009901
4,"[0.40, 0.50)",406,0.44852665066719055,0.4433497536945813
5,"[0.50, 0.60)",290,0.5476766228675842,0.5
6,"[0.60, 0.70)",172,0.6422380208969116,0.622093023255814
7,"[0.70, 0.80)",79,0.7442719340324402,0.6329113924050633
8,"[0.80, 0.90)",15,0.832779586315155,0.5333333333333333
