feature,xper_value,abs_xper_value
age_A,-0.434895407312149,0.434895407312149
imprace_A,0.21471338287125288,0.21471338287125288
intel3_1_B,-0.16459956744711687,0.16459956744711687
field_cd_B_NA,-0.16269956744711722,0.16269956744711722
field_cd_B_6,0.15029634487145768,0.15029634487145768
go_out_A,0.13399271959693954,0.13399271959693954
date_A,-0.10884671399741444,0.10884671399741444
field_cd_A_13,0.10879949499357407,0.10879949499357407
music_A,0.09783527428511501,0.09783527428511501
imprelig_A,-0.07293435236533975,0.07293435236533975
fun3_1_A,-0.06648349396536846,0.06648349396536846
field_cd_B_13,0.06526089630670492,0.06526089630670492
tv_A,0.06462578629087398,0.06462578629087398
career_c_B_7,-0.05939354040751322,0.05939354040751322
age_B,-0.05417984121106144,0.05417984121106144
abs_age_diff,-0.050832994153883544,0.050832994153883544
shar1_1_B,-0.05037808328718463,0.05037808328718463
field_cd_A_NA,-0.04974695268800458,0.04974695268800458
dining_A,-0.04484957941466717,0.04484957941466717
income_missing_B,-0.04425837201437037,0.04425837201437037
field_cd_B_12,0.043813254123070085,0.043813254123070085
date_B,-0.042583742420130744,0.042583742420130744
theater_A,-0.042281472661646335,0.042281472661646335
field_cd_A_7,-0.039157448056900065,0.039157448056900065
concerts_A,0.03888418750749606,0.03888418750749606
field_cd_B_10,-0.038145496033487734,0.038145496033487734
int_corr,0.037492226715938166,0.037492226715938166
tvsports_B,-0.03726331911148589,0.03726331911148589
movies_A,-0.03631479239375374,0.03631479239375374
gaming_B,-0.034598218201504244,0.034598218201504244
reading_A,-0.03436712320899854,0.03436712320899854
career_c_A_9,-0.03400933331462783,0.03400933331462783
field_cd_A_8,-0.03320232906131852,0.03320232906131852
field_cd_A_3,-0.032593468720739184,0.032593468720739184
career_c_A_13,-0.031934182842484296,0.031934182842484296
career_c_A_11,-0.03138737937898423,0.03138737937898423
exercise_B,-0.03106900934551003,0.03106900934551003
goal_B_5,-0.02907415174177655,0.02907415174177655
goal_A_6,-0.02879227965025988,0.02879227965025988
field_cd_B_11,0.027701735330268318,0.027701735330268318
sinc3_1_A,-0.027656021174927835,0.027656021174927835
amb1_1_A,-0.0273769410451536,0.0273769410451536
field_cd_A_11,-0.026449068592137623,0.026449068592137623
income_missing_A,-0.026273341714763473,0.026273341714763473
exphappy_A,0.02603006290834528,0.02603006290834528
career_c_B_6,-0.025801309395287755,0.025801309395287755
intel1_1_B,0.025469872043523564,0.025469872043523564
goal_A_3,-0.025172742316818444,0.025172742316818444
museums_A,-0.024996317125555265,0.024996317125555265
movies_B,0.024646178989547043,0.024646178989547043
field_cd_A_16,-0.024429357590152044,0.024429357590152044
field_cd_B_2,0.023816979898423577,0.023816979898423577
career_c_A_14,-0.023054110018870307,0.023054110018870307
goal_B_4,-0.02258459100527281,0.02258459100527281
career_c_B_16,-0.02257794941528328,0.02257794941528328
career_c_A_NA,-0.02228020206850614,0.02228020206850614
clubbing_A,0.021786255121107052,0.021786255121107052
career_c_A_8,-0.021092837341116517,0.021092837341116517
career_c_B_2,-0.021044493220726886,0.021044493220726886
career_c_B_3,-0.020713082780932625,0.020713082780932625
age_diff,-0.020414644217601818,0.020414644217601818
imprace_B,-0.02031688695795215,0.02031688695795215
sports_B,0.0194864377956064,0.0194864377956064
career_c_B_12,-0.01924718773150564,0.01924718773150564
field_cd_A_18,0.019030460092486982,0.019030460092486982
fun1_1_A,-0.01899016453058775,0.01899016453058775
career_c_A_3,-0.01853220009257803,0.01853220009257803
career_c_B_10,-0.01831208711617558,0.01831208711617558
field_cd_A_2,-0.017982115751549475,0.017982115751549475
career_c_B_5,-0.01790937370387525,0.01790937370387525
fun3_1_B,-0.017821095846487615,0.017821095846487615
art_B,0.017744713316230426,0.017744713316230426
career_c_B_8,-0.017119733312778954,0.017119733312778954
field_cd_B_17,-0.016979780921729304,0.016979780921729304
career_c_A_12,-0.01671906789551025,0.01671906789551025
field_cd_A_4,0.01658238971978477,0.01658238971978477
goal_B_2,0.016021393697067395,0.016021393697067395
field_cd_A_10,-0.01591430181364163,0.01591430181364163
fit_score,-0.01564459530174727,0.01564459530174727
fun1_1_B,-0.015582359371714882,0.015582359371714882
shopping_B,-0.015525017934537718,0.015525017934537718
theater_B,0.015080571033710806,0.015080571033710806
attr1_1_B,-0.014697886037318387,0.014697886037318387
concerts_B,-0.013816226749028564,0.013816226749028564
field_cd_A_14,-0.013641231012065408,0.013641231012065408
attr3_1_B,-0.013419710419465835,0.013419710419465835
intel1_1_A,0.01335398479247561,0.01335398479247561
reading_B,-0.012912639385326906,0.012912639385326906
music_B,-0.012033747274307185,0.012033747274307185
career_c_B_13,-0.011702736271311421,0.011702736271311421
field_cd_A_15,-0.011460895736282744,0.011460895736282744
amb1_1_B,-0.011347450618151688,0.011347450618151688
yoga_A,-0.010514007438139862,0.010514007438139862
attr1_1_A,-0.0102980480707705,0.0102980480707705
field_cd_A_5,-0.010259175855330347,0.010259175855330347
go_out_B,-0.01013183430946384,0.01013183430946384
goal_B_3,0.010098511612851711,0.010098511612851711
tv_B,-0.010092322845069729,0.010092322845069729
clubbing_B,0.009941310075183764,0.009941310075183764
field_cd_B_14,-0.009560554155250913,0.009560554155250913
exphappy_B,0.009558173778137431,0.009558173778137431
museums_B,0.00936260068284931,0.00936260068284931
amb3_1_B,0.009294657865566575,0.009294657865566575
gaming_A,-0.009289572022348886,0.009289572022348886
goal_A_2,0.009237455037196737,0.009237455037196737
career_c_B_15,0.009227921676805294,0.009227921676805294
field_cd_A_12,0.009222088415711743,0.009222088415711743
dining_B,0.008869673891564227,0.008869673891564227
tvsports_A,0.008761366082993643,0.008761366082993643
career_c_B_9,-0.008518984209319333,0.008518984209319333
shopping_A,0.008252241577352007,0.008252241577352007
field_cd_B_9,0.007951826495801093,0.007951826495801093
career_c_A_6,0.00790491524533757,0.00790491524533757
sinc1_1_B,0.007552014906919688,0.007552014906919688
field_cd_B_7,-0.007129900945164891,0.007129900945164891
field_cd_B_8,-0.006987927515662637,0.006987927515662637
sinc1_1_A,0.006964292676216919,0.006964292676216919
exercise_A,-0.006923362839292717,0.006923362839292717
hiking_A,0.006752115546880509,0.006752115546880509
hiking_B,-0.006097741829405079,0.006097741829405079
career_c_A_10,-0.006079093638837657,0.006079093638837657
amb3_1_A,-0.005668337811220727,0.005668337811220727
field_cd_B_4,-0.00565871603092516,0.00565871603092516
shar1_1_A,-0.005167915222515009,0.005167915222515009
goal_A_4,0.004735378083820464,0.004735378083820464
field_cd_A_9,-0.0045341819877428935,0.0045341819877428935
goal_B_NA,0.004365308858635025,0.004365308858635025
field_cd_B_15,-0.00434657528645143,0.00434657528645143
sports_A,-0.004191617976018421,0.004191617976018421
imprelig_B,0.004166994297584757,0.004166994297584757
career_c_B_NA,0.003651747722439102,0.003651747722439102
intel3_1_A,0.0035674452880333093,0.0035674452880333093
career_c_B_11,0.0035645205864692033,0.0035645205864692033
goal_A_NA,-0.003470594785918808,0.003470594785918808
career_c_A_4,0.0031476541790950857,0.0031476541790950857
income_B,0.0031103913281219963,0.0031103913281219963
field_cd_B_18,0.0024356679053508215,0.0024356679053508215
sinc3_1_B,-0.002357388139578351,0.002357388139578351
career_c_A_15,-0.00235689786643479,0.00235689786643479
career_c_A_16,-0.0022287352636440965,0.0022287352636440965
career_c_A_2,0.002198245579601939,0.002198245579601939
career_c_A_7,-0.002197692451154032,0.002197692451154032
field_cd_B_5,0.0020068083253432134,0.0020068083253432134
career_c_A_5,-0.0017330741367017125,0.0017330741367017125
art_A,0.0017209586387496717,0.0017209586387496717
yoga_B,-0.0017201819406196233,0.0017201819406196233
career_c_A_17,0.00148008447534122,0.00148008447534122
income_A,0.001197065394076348,0.001197065394076348
goal_B_6,0.0010001229834071903,0.0010001229834071903
career_c_B_14,-0.0008875583021142041,0.0008875583021142041
field_cd_B_16,0.0007436719429399396,0.0007436719429399396
career_c_B_4,-0.0007002033146051343,0.0007002033146051343
field_cd_A_6,0.0005338728472213618,0.0005338728472213618
field_cd_A_17,0.00034236860929087764,0.00034236860929087764
goal_A_5,0.00032597198165717486,0.00032597198165717486
field_cd_B_3,-8.170216279457553e-05,8.170216279457553e-05
