feature,xper_value,abs_xper_value
age_A,-0.9635494149783198,0.9635494149783198
imprace_A,0.4779512157610875,0.4779512157610875
intel3_1_B,-0.37132594040022177,0.37132594040022177
field_cd_B_NA,-0.3620259404002223,0.3620259404002223
field_cd_B_6,0.3395348494216995,0.3395348494216995
go_out_A,0.29513421207184515,0.29513421207184515
field_cd_A_13,0.24668862515639775,0.24668862515639775
date_A,-0.2421713781266516,0.2421713781266516
music_A,0.21702654097309745,0.21702654097309745
imprelig_A,-0.16053104000106955,0.16053104000106955
fun3_1_A,-0.14538693525338764,0.14538693525338764
tv_A,0.14326616934696662,0.14326616934696662
field_cd_B_13,0.14250899061862482,0.14250899061862482
career_c_B_7,-0.1281940105501901,0.1281940105501901
age_B,-0.12112350815271186,0.12112350815271186
shar1_1_B,-0.11328929424138852,0.11328929424138852
field_cd_A_NA,-0.11044167991616044,0.11044167991616044
abs_age_diff,-0.10989736379852494,0.10989736379852494
dining_A,-0.10101845860792749,0.10101845860792749
income_missing_B,-0.09987316266439693,0.09987316266439693
field_cd_B_12,0.09642659570146048,0.09642659570146048
theater_A,-0.09401212955661814,0.09401212955661814
date_B,-0.09338277084253377,0.09338277084253377
field_cd_A_7,-0.08762689816819796,0.08762689816819796
field_cd_B_10,-0.087230049776418,0.087230049776418
concerts_A,0.08548543314345403,0.08548543314345403
tvsports_B,-0.08405471892589136,0.08405471892589136
movies_A,-0.08307189996568086,0.08307189996568086
int_corr,0.0801501630604767,0.0801501630604767
career_c_A_9,-0.0785515675992095,0.0785515675992095
gaming_B,-0.07848897062487412,0.07848897062487412
reading_A,-0.07648640933873126,0.07648640933873126
field_cd_A_8,-0.07424330800951681,0.07424330800951681
exercise_B,-0.07178257710269707,0.07178257710269707
career_c_A_13,-0.07153114864508492,0.07153114864508492
field_cd_A_3,-0.071293500208647,0.071293500208647
career_c_A_11,-0.0708860464109518,0.0708860464109518
goal_A_6,-0.06686095430870316,0.06686095430870316
goal_B_5,-0.06475897962250372,0.06475897962250372
amb1_1_A,-0.06453920257594062,0.06453920257594062
sinc3_1_A,-0.060693088046499755,0.060693088046499755
income_missing_A,-0.06002747470798696,0.06002747470798696
field_cd_A_11,-0.059950252650390466,0.059950252650390466
field_cd_B_11,0.05794074454702049,0.05794074454702049
intel1_1_B,0.057500014493632186,0.057500014493632186
career_c_B_6,-0.05738455179278152,0.05738455179278152
goal_A_3,-0.05675792527277617,0.05675792527277617
museums_A,-0.05456941822286474,0.05456941822286474
exphappy_A,0.05453267192093613,0.05453267192093613
field_cd_A_16,-0.0537186781638259,0.0537186781638259
field_cd_B_2,0.05193794897542634,0.05193794897542634
movies_B,0.051842449470043524,0.051842449470043524
career_c_B_16,-0.05180170970295586,0.05180170970295586
career_c_A_8,-0.05124366156413301,0.05124366156413301
goal_B_4,-0.051137940580503596,0.051137940580503596
career_c_A_14,-0.051130561138387196,0.051130561138387196
career_c_A_NA,-0.049132673753772435,0.049132673753772435
career_c_B_2,-0.04825286875035385,0.04825286875035385
imprace_B,-0.047397378250430625,0.047397378250430625
fun1_1_A,-0.046031521627740116,0.046031521627740116
clubbing_A,0.044229242045794634,0.044229242045794634
career_c_B_3,-0.04415820820476593,0.04415820820476593
career_c_A_3,-0.04317594318956709,0.04317594318956709
age_diff,-0.04306844222124515,0.04306844222124515
fun3_1_B,-0.042994364088142806,0.042994364088142806
career_c_B_12,-0.04278906142722237,0.04278906142722237
career_c_B_5,-0.04237881782734095,0.04237881782734095
field_cd_A_18,0.04197766419589352,0.04197766419589352
career_c_B_8,-0.04181381684604456,0.04181381684604456
career_c_B_10,-0.04119105506714216,0.04119105506714216
sports_B,0.04110103900673243,0.04110103900673243
fit_score,-0.04088836743413985,0.04088836743413985
field_cd_B_17,-0.040276948185093635,0.040276948185093635
career_c_A_12,-0.0378368733525159,0.0378368733525159
fun1_1_B,-0.037317353751547294,0.037317353751547294
art_B,0.03708589223874872,0.03708589223874872
goal_B_2,0.03679088287886199,0.03679088287886199
field_cd_A_4,0.03628323361487364,0.03628323361487364
field_cd_A_2,-0.036163648112415014,0.036163648112415014
shopping_B,-0.03341128771931323,0.03341128771931323
theater_B,0.03267640212975621,0.03267640212975621
field_cd_A_10,-0.03187667393603955,0.03187667393603955
reading_B,-0.03150376555755165,0.03150376555755165
attr1_1_B,-0.03142683088756077,0.03142683088756077
attr3_1_B,-0.03135016410844523,0.03135016410844523
field_cd_A_14,-0.030898931491600702,0.030898931491600702
intel1_1_A,0.03089867970082209,0.03089867970082209
field_cd_A_15,-0.028104193694355684,0.028104193694355684
go_out_B,-0.027165819188082342,0.027165819188082342
concerts_B,-0.026469940940444893,0.026469940940444893
amb1_1_B,-0.02634242175792077,0.02634242175792077
tv_B,-0.02576682528610798,0.02576682528610798
music_B,-0.02471905404652572,0.02471905404652572
career_c_B_13,-0.02457963398773773,0.02457963398773773
field_cd_A_5,-0.024312767099168187,0.024312767099168187
gaming_A,-0.023159416982086227,0.023159416982086227
goal_B_3,0.022622950159913686,0.022622950159913686
attr1_1_A,-0.022363140876350298,0.022363140876350298
yoga_A,-0.022027483278923888,0.022027483278923888
clubbing_B,0.02096904887321515,0.02096904887321515
field_cd_B_8,-0.0209309112002912,0.0209309112002912
amb3_1_B,0.020675012528321865,0.020675012528321865
career_c_B_15,0.020526171790452675,0.020526171790452675
exphappy_B,0.020442599226106396,0.020442599226106396
field_cd_B_14,-0.020245397195879988,0.020245397195879988
field_cd_A_12,0.020243204699565556,0.020243204699565556
career_c_B_9,-0.019083987428398452,0.019083987428398452
goal_A_2,0.01903095620882294,0.01903095620882294
career_c_A_6,0.018195373368927882,0.018195373368927882
museums_B,0.018177619414764933,0.018177619414764933
tvsports_A,0.01760899646324814,0.01760899646324814
sinc1_1_A,0.01760286123729027,0.01760286123729027
hiking_B,-0.017290858436920645,0.017290858436920645
exercise_A,-0.01713847689340391,0.01713847689340391
field_cd_B_7,-0.01668898849998035,0.01668898849998035
field_cd_B_9,0.016463968447847366,0.016463968447847366
dining_B,0.015398846033383451,0.015398846033383451
shopping_A,0.014838753761405638,0.014838753761405638
amb3_1_A,-0.014648995888001375,0.014648995888001375
hiking_A,0.014430377766229399,0.014430377766229399
shar1_1_A,-0.013736878663867056,0.013736878663867056
sinc1_1_B,0.013440007339147462,0.013440007339147462
field_cd_B_4,-0.012911894151869645,0.012911894151869645
field_cd_B_15,-0.012256291359330483,0.012256291359330483
career_c_A_10,-0.011649130952385026,0.011649130952385026
sports_A,-0.011409092294658084,0.011409092294658084
goal_A_NA,-0.010831717387811964,0.010831717387811964
field_cd_A_9,-0.009409967281398994,0.009409967281398994
career_c_B_11,0.009223763839469443,0.009223763839469443
income_B,0.00855463517348543,0.00855463517348543
career_c_B_NA,0.008502518713546901,0.008502518713546901
goal_B_NA,0.00797589764543622,0.00797589764543622
intel3_1_A,0.00794225458797487,0.00794225458797487
goal_A_4,0.007378279734987548,0.007378279734987548
career_c_A_16,-0.007377122500142674,0.007377122500142674
imprelig_B,0.006829459420625198,0.006829459420625198
sinc3_1_B,-0.0067927215973243565,0.0067927215973243565
career_c_A_15,-0.006791631792999422,0.006791631792999422
career_c_A_7,-0.006108737037942852,0.006108737037942852
income_A,0.005293554088043928,0.005293554088043928
field_cd_B_5,0.004888942101209288,0.004888942101209288
career_c_A_2,0.0045916582421257615,0.0045916582421257615
career_c_A_4,0.004213725986907242,0.004213725986907242
art_A,0.004171327385630474,0.004171327385630474
career_c_A_5,-0.003865006047583007,0.003865006047583007
yoga_B,-0.0038362644408752506,0.0038362644408752506
field_cd_B_18,0.0033889508714908053,0.0033889508714908053
career_c_B_14,-0.002601073375324192,0.002601073375324192
career_c_A_17,0.001513861596256842,0.001513861596256842
field_cd_A_17,-0.0014633663102268483,0.0014633663102268483
field_cd_B_16,0.0011839558584646746,0.0011839558584646746
goal_B_6,0.0010558916605427405,0.0010558916605427405
attr3_1_A,-0.0009831982369491483,0.0009831982369491483
career_c_B_4,-0.0009713272569827382,0.0009713272569827382
goal_A_5,-0.0004109718733074098,0.0004109718733074098
field_cd_B_3,-0.0001822014147037506,0.0001822014147037506
field_cd_A_6,9.393343042917735e-05,9.393343042917735e-05
career_c_B_17,-6.58529438360157e-05,6.58529438360157e-05
